artifact,authority_path,authority_sha256,repository_path,repository_sha256,byte_identical,status
Figure 1 TIFF,11_reviewer2_revision/10_figure_integration/03_revised_figures/Figure1_STAGE3B_REVISED.tiff,e67845a207e8c9d4b987101a0d10698d298dca5f1a7644b88c19fae8f5c58301,figures/Figure 1/Figure 1.tiff,e67845a207e8c9d4b987101a0d10698d298dca5f1a7644b88c19fae8f5c58301,TRUE,PASS
Figure 1 legend,11_reviewer2_revision/10_figure_integration/04_legends/Figure1_STAGE3B_REVISED_LEGEND.txt,37472bcf14841311820a0115ba99208c213b10e42577727d8f6df072142142da,figures/Figure 1/Figure 1-LEGEND.md,37472bcf14841311820a0115ba99208c213b10e42577727d8f6df072142142da,TRUE,PASS
Figure 2 TIFF,11_reviewer2_revision/10_figure_integration/03_revised_figures/Figure2_STAGE3B_REVISED.tiff,4c33a7242b18b10c9d953da755bbcf15f0d97fd99fd0fd31d3f5be487741d065,figures/Figure 2/Figure 2.tiff,4c33a7242b18b10c9d953da755bbcf15f0d97fd99fd0fd31d3f5be487741d065,TRUE,PASS
Figure 2 legend,11_reviewer2_revision/10_figure_integration/04_legends/Figure2_STAGE3B_REVISED_LEGEND.txt,e0650a9e8302c19d404ac2a3b63f59a2fd29200d96e37a86ca493d9319505676,figures/Figure 2/Figure 2-LEGEND.md,e0650a9e8302c19d404ac2a3b63f59a2fd29200d96e37a86ca493d9319505676,TRUE,PASS
Figure 4 TIFF,11_reviewer2_revision/10_figure_integration/03_revised_figures/Figure4_STAGE3B_REVISED.tiff,47b3a484829bf4d503f0a671bd6ff3699d4ab2fba8252dc649e5b4d9bceee878,figures/Figure 4/Figure 4.tiff,47b3a484829bf4d503f0a671bd6ff3699d4ab2fba8252dc649e5b4d9bceee878,TRUE,PASS
Figure 4 legend,11_reviewer2_revision/10_figure_integration/04_legends/Figure4_STAGE3B_REVISED_LEGEND.txt,a0e301eec3fbd503f95d16ae24e79f54fcaf6f0408731a819af5ff9722dfe113,figures/Figure 4/Figure 4-LEGEND.md,a0e301eec3fbd503f95d16ae24e79f54fcaf6f0408731a819af5ff9722dfe113,TRUE,PASS
Figure 5 TIFF,11_reviewer2_revision/10_figure_integration/03_revised_figures/Figure5_STAGE3B_REVISED.tiff,ec2fb8ec87f5a0c0517678e9accb17ebd361fe3d4a2b74041aed1cff6c7e4593,figures/Figure 5/Figure 5.tiff,ec2fb8ec87f5a0c0517678e9accb17ebd361fe3d4a2b74041aed1cff6c7e4593,TRUE,PASS
Figure 5 legend,11_reviewer2_revision/10_figure_integration/04_legends/Figure5_STAGE3B_REVISED_LEGEND.txt,5bbd5fe5080398a9b18bc533ca6eec2dc2c9ffda2003b4f571baeb11eb979813,figures/Figure 5/Figure 5-LEGEND.md,5bbd5fe5080398a9b18bc533ca6eec2dc2c9ffda2003b4f571baeb11eb979813,TRUE,PASS
Figure 6 TIFF,11_reviewer2_revision/10_figure_integration/03_revised_figures/Figure6_STAGE3B_REVISED.tiff,ea8ae44f83868f859836b19e0cda31299d019be95d02ac893178e6dc84ab0724,figures/Figure 6/Figure 6.tiff,ea8ae44f83868f859836b19e0cda31299d019be95d02ac893178e6dc84ab0724,TRUE,PASS
Figure 6 legend,11_reviewer2_revision/10_figure_integration/04_legends/Figure6_STAGE3B_REVISED_LEGEND.txt,cceac82a04b37f0a870ec0234fd6977d2bd3766186b93abeaa27185b3904546c,figures/Figure 6/Figure 6-LEGEND.md,cceac82a04b37f0a870ec0234fd6977d2bd3766186b93abeaa27185b3904546c,TRUE,PASS
Supplementary Figure S4 PDF,11_reviewer2_revision/10_figure_integration/03_revised_figures/Supplementary_Figure_S4_STAGE3B_REVISED.pdf,d93083ebd0fc60eb87cc7d8b63269fbc547515e5e9568c23dae83b059c3b6bcc,supplementary_figures/S4/Supplementary_Fig_S4_FINAL_SUBMISSION.pdf,d93083ebd0fc60eb87cc7d8b63269fbc547515e5e9568c23dae83b059c3b6bcc,TRUE,PASS
Supplementary Figure S5 PDF,11_reviewer2_revision/10_figure_integration/03_revised_figures/Supplementary_Figure_S5_STAGE3B_REVISED.pdf,184bda9983ed6de9b50949035a76767b8e7da5e56207906843077bc004618d92,supplementary_figures/S5/Supplementary_Fig_S5_FINAL_SUBMISSION.pdf,184bda9983ed6de9b50949035a76767b8e7da5e56207906843077bc004618d92,TRUE,PASS
Supplementary Tables,11_reviewer2_revision/11_supplementary_integration/03_revised_supplementary_tables/Supplementary_Tables_STAGE3C_REVISED.xlsx,1f7dd1fb6bb8598e45983fc2779613fce82bfe00881f371037b0a0b5032eeca1,supplementary_tables/DLBCL_continuous_model_Supplementary_Tables_FRONTIERS_FINAL_SUBMISSION_READY.xlsx,1f7dd1fb6bb8598e45983fc2779613fce82bfe00881f371037b0a0b5032eeca1,TRUE,PASS
