"batch_id","partition_origin","capture_area_id","program_id","program_name","replicate_start","replicate_end","expected_replicate_count","observed_replicate_count","expected_membership_rows","observed_membership_rows","seed_min","seed_max","source_file","source_sha256","output_file","output_size_bytes","output_sha256","validation_status","completion_time","scientific_parameters_changed","notes"
"SALVAGED__gsm8500534_cap_area1_ln_v1__macrophage_rich__r0001-r1000","SALVAGED_FROM_INTERRUPTED_FILE","GSM8500534_Cap.area1_LN_V1","macrophage_rich","Macrophage-rich program",1,1000,1000,1000,22000,22000,21370805,21371804,"${DLBCL_PROJECT_ROOT}/revision_2026_reviewer_response/06p_wp3_matched_null_and_depth_sensitivity/01_execution_outputs/matched_null/MATCHED_RANDOM_SET_MEMBERSHIP.csv","335f2f67a5ae6432df456faaded956168426ff470426e2f26a25bf577fe94e14","${DLBCL_PROJECT_ROOT}/revision_2026_reviewer_response/06p_wp3_matched_null_and_depth_sensitivity/01_execution_outputs/matched_null/membership_parts/salvaged/GSM8500534_Cap.area1_LN_V1__macrophage_rich__r0001-r1000.csv",3298780,"a370266699e54f29c7cb12fd59de70cc77d8e2b353cfd74d0df523982eb827b8","PASS","2026-08-05T18:23:29+0800",FALSE,"Deterministic composite-key extraction from complete parseable rows; independently validated; not recomputed"
"SALVAGED__gsm8500534_cap_area1_ln_v1__t_cell_inflamed__r0001-r1000","SALVAGED_FROM_INTERRUPTED_FILE","GSM8500534_Cap.area1_LN_V1","t_cell_inflamed","T cell-inflamed program",1,1000,1000,1000,22000,22000,21470805,21471804,"${DLBCL_PROJECT_ROOT}/revision_2026_reviewer_response/06p_wp3_matched_null_and_depth_sensitivity/01_execution_outputs/matched_null/MATCHED_RANDOM_SET_MEMBERSHIP.csv","335f2f67a5ae6432df456faaded956168426ff470426e2f26a25bf577fe94e14","${DLBCL_PROJECT_ROOT}/revision_2026_reviewer_response/06p_wp3_matched_null_and_depth_sensitivity/01_execution_outputs/matched_null/membership_parts/salvaged/GSM8500534_Cap.area1_LN_V1__t_cell_inflamed__r0001-r1000.csv",3292005,"a33614ec2c99d071c1647eb4c0c0e8f0fdc3efbb5f5935366581b5823cd6766d","PASS","2026-08-05T18:23:30+0800",FALSE,"Deterministic composite-key extraction from complete parseable rows; independently validated; not recomputed"
"GENERATED__gsm8500534_cap_area1_ln_v1__antigen_presentation__r0001-r0100","GENERATED_BY_CONTROLLED_RESUME","GSM8500534_Cap.area1_LN_V1","antigen_presentation","Immune-inflamed / antigen-presentation program",1,100,100,100,2000,2000,21570805,21570904,"${DLBCL_PROJECT_ROOT}/revision_2026_reviewer_response/06p_wp3_matched_null_and_depth_sensitivity/01_execution_scripts/05_06p_partitioned_membership_resume.R","c26643ea7c59428bd516cbe93006168c13bdff590940977ef2318f8df7bc9e85","${DLBCL_PROJECT_ROOT}/revision_2026_reviewer_response/06p_wp3_matched_null_and_depth_sensitivity/01_execution_outputs/matched_null/membership_parts/generated/GSM8500534_Cap.area1_LN_V1__antigen_presentation__r0001-r0100.csv",355200,"a71665ee1aef4b4fb3174a5f8215729c5b9158833188705d68f8da227dad50b4","PASS","2026-08-05T18:23:35+0800",FALSE,"Create-once controlled-resume partition using frozen composite keys and seeds"
"GENERATED__gsm8500534_cap_area1_ln_v1__antigen_presentation__r0101-r0200","GENERATED_BY_CONTROLLED_RESUME","GSM8500534_Cap.area1_LN_V1","antigen_presentation","Immune-inflamed / antigen-presentation program",101,200,100,100,2000,2000,21570905,21571004,"${DLBCL_PROJECT_ROOT}/revision_2026_reviewer_response/06p_wp3_matched_null_and_depth_sensitivity/01_execution_scripts/05_06p_partitioned_membership_resume.R","c26643ea7c59428bd516cbe93006168c13bdff590940977ef2318f8df7bc9e85","${DLBCL_PROJECT_ROOT}/revision_2026_reviewer_response/06p_wp3_matched_null_and_depth_sensitivity/01_execution_outputs/matched_null/membership_parts/generated/GSM8500534_Cap.area1_LN_V1__antigen_presentation__r0101-r0200.csv",357472,"f8dbb98ad18b281997b17c7a411af16683043b4eeccaad44dd2668183caa17e1","PASS","2026-08-05T18:23:36+0800",FALSE,"Create-once controlled-resume partition using frozen composite keys and seeds"
"GENERATED__gsm8500534_cap_area1_ln_v1__antigen_presentation__r0201-r0300","GENERATED_BY_CONTROLLED_RESUME","GSM8500534_Cap.area1_LN_V1","antigen_presentation","Immune-inflamed / antigen-presentation program",201,300,100,100,2000,2000,21571005,21571104,"${DLBCL_PROJECT_ROOT}/revision_2026_reviewer_response/06p_wp3_matched_null_and_depth_sensitivity/01_execution_scripts/05_06p_partitioned_membership_resume.R","c26643ea7c59428bd516cbe93006168c13bdff590940977ef2318f8df7bc9e85","${DLBCL_PROJECT_ROOT}/revision_2026_reviewer_response/06p_wp3_matched_null_and_depth_sensitivity/01_execution_outputs/matched_null/membership_parts/generated/GSM8500534_Cap.area1_LN_V1__antigen_presentation__r0201-r0300.csv",357363,"6bfd1a517fffa20bea6fe23a3b272d8680266a959a41a0cc61970d9027c8ca53","PASS","2026-08-05T18:23:37+0800",FALSE,"Create-once controlled-resume partition using frozen composite keys and seeds"
"GENERATED__gsm8500534_cap_area1_ln_v1__antigen_presentation__r0301-r0400","GENERATED_BY_CONTROLLED_RESUME","GSM8500534_Cap.area1_LN_V1","antigen_presentation","Immune-inflamed / antigen-presentation program",301,400,100,100,2000,2000,21571105,21571204,"${DLBCL_PROJECT_ROOT}/revision_2026_reviewer_response/06p_wp3_matched_null_and_depth_sensitivity/01_execution_scripts/05_06p_partitioned_membership_resume.R","c26643ea7c59428bd516cbe93006168c13bdff590940977ef2318f8df7bc9e85","${DLBCL_PROJECT_ROOT}/revision_2026_reviewer_response/06p_wp3_matched_null_and_depth_sensitivity/01_execution_outputs/matched_null/membership_parts/generated/GSM8500534_Cap.area1_LN_V1__antigen_presentation__r0301-r0400.csv",357460,"42b3d73a2cec2c442ae78dde60b164c7fb749bc4d89c53bf08e532694123d219","PASS","2026-08-05T18:23:38+0800",FALSE,"Create-once controlled-resume partition using frozen composite keys and seeds"
"GENERATED__gsm8500534_cap_area1_ln_v1__antigen_presentation__r0401-r0500","GENERATED_BY_CONTROLLED_RESUME","GSM8500534_Cap.area1_LN_V1","antigen_presentation","Immune-inflamed / antigen-presentation program",401,500,100,100,2000,2000,21571205,21571304,"${DLBCL_PROJECT_ROOT}/revision_2026_reviewer_response/06p_wp3_matched_null_and_depth_sensitivity/01_execution_scripts/05_06p_partitioned_membership_resume.R","c26643ea7c59428bd516cbe93006168c13bdff590940977ef2318f8df7bc9e85","${DLBCL_PROJECT_ROOT}/revision_2026_reviewer_response/06p_wp3_matched_null_and_depth_sensitivity/01_execution_outputs/matched_null/membership_parts/generated/GSM8500534_Cap.area1_LN_V1__antigen_presentation__r0401-r0500.csv",357270,"8af239cd933c9b84faf6f64c768bcfc6c8d120a928a0973611a28c3dbda5b79c","PASS","2026-08-05T18:23:39+0800",FALSE,"Create-once controlled-resume partition using frozen composite keys and seeds"
"GENERATED__gsm8500534_cap_area1_ln_v1__antigen_presentation__r0501-r0600","GENERATED_BY_CONTROLLED_RESUME","GSM8500534_Cap.area1_LN_V1","antigen_presentation","Immune-inflamed / antigen-presentation program",501,600,100,100,2000,2000,21571305,21571404,"${DLBCL_PROJECT_ROOT}/revision_2026_reviewer_response/06p_wp3_matched_null_and_depth_sensitivity/01_execution_scripts/05_06p_partitioned_membership_resume.R","c26643ea7c59428bd516cbe93006168c13bdff590940977ef2318f8df7bc9e85","${DLBCL_PROJECT_ROOT}/revision_2026_reviewer_response/06p_wp3_matched_null_and_depth_sensitivity/01_execution_outputs/matched_null/membership_parts/generated/GSM8500534_Cap.area1_LN_V1__antigen_presentation__r0501-r0600.csv",357283,"4a3a9c1efafbd443109046a11004ab1cdb23cf91af479d02e55320e0cf1ff989","PASS","2026-08-05T18:23:39+0800",FALSE,"Create-once controlled-resume partition using frozen composite keys and seeds"
"GENERATED__gsm8500534_cap_area1_ln_v1__antigen_presentation__r0601-r0700","GENERATED_BY_CONTROLLED_RESUME","GSM8500534_Cap.area1_LN_V1","antigen_presentation","Immune-inflamed / antigen-presentation program",601,700,100,100,2000,2000,21571405,21571504,"${DLBCL_PROJECT_ROOT}/revision_2026_reviewer_response/06p_wp3_matched_null_and_depth_sensitivity/01_execution_scripts/05_06p_partitioned_membership_resume.R","c26643ea7c59428bd516cbe93006168c13bdff590940977ef2318f8df7bc9e85","${DLBCL_PROJECT_ROOT}/revision_2026_reviewer_response/06p_wp3_matched_null_and_depth_sensitivity/01_execution_outputs/matched_null/membership_parts/generated/GSM8500534_Cap.area1_LN_V1__antigen_presentation__r0601-r0700.csv",357410,"22b509978a4591de63a22bd53e28662c98b632575bbe1722d55c8a082906b8c1","PASS","2026-08-05T18:23:40+0800",FALSE,"Create-once controlled-resume partition using frozen composite keys and seeds"
"GENERATED__gsm8500534_cap_area1_ln_v1__antigen_presentation__r0701-r0800","GENERATED_BY_CONTROLLED_RESUME","GSM8500534_Cap.area1_LN_V1","antigen_presentation","Immune-inflamed / antigen-presentation program",701,800,100,100,2000,2000,21571505,21571604,"${DLBCL_PROJECT_ROOT}/revision_2026_reviewer_response/06p_wp3_matched_null_and_depth_sensitivity/01_execution_scripts/05_06p_partitioned_membership_resume.R","c26643ea7c59428bd516cbe93006168c13bdff590940977ef2318f8df7bc9e85","${DLBCL_PROJECT_ROOT}/revision_2026_reviewer_response/06p_wp3_matched_null_and_depth_sensitivity/01_execution_outputs/matched_null/membership_parts/generated/GSM8500534_Cap.area1_LN_V1__antigen_presentation__r0701-r0800.csv",357538,"cef55b1693c28f6cb979d467cadc0cbe245b0742083cc5a1517051276215cd18","PASS","2026-08-05T18:23:41+0800",FALSE,"Create-once controlled-resume partition using frozen composite keys and seeds"
