"capture_area_id","role_family","program_id","program_name","observed_set_size","replicate_count","mean_expression_smd","median_expression_smd","sd_expression_smd","mean_abs_expression_smd","median_abs_expression_smd","p90_abs_expression_smd","p95_abs_expression_smd","max_abs_expression_smd","prop_abs_expression_smd_le_0_05","prop_abs_expression_smd_le_0_10","prop_abs_expression_smd_le_0_20","mean_detection_smd","median_detection_smd","sd_detection_smd","mean_abs_detection_smd","median_abs_detection_smd","p90_abs_detection_smd","p95_abs_detection_smd","max_abs_detection_smd","prop_abs_detection_smd_le_0_05","prop_abs_detection_smd_le_0_10","prop_abs_detection_smd_le_0_20","median_abs_expression_pooled_smd","p95_abs_expression_pooled_smd","max_abs_expression_pooled_smd","median_abs_detection_pooled_smd","p95_abs_detection_pooled_smd","max_abs_detection_pooled_smd","mean_matching_distance","median_matching_distance","max_matching_distance","pool_50_total","pool_100_total","pool_200_total","complete_replicates","noncomplete_replicates"
"GSM8500534_Cap.area1_LN_V1","CONTEXT_ONLY","antigen_presentation","Immune-inflamed / antigen-presentation program",20,1000,-0.0900691505968944,-0.0956548279685991,0.0457274905589287,0.0915980539033293,0.0956548279685991,0.144389184018632,0.1570025870233,0.184602867425982,0.19,0.533,1,0.0179822706759418,0.0185225242148435,0.0110938162295363,0.0184086862119436,0.0185225242148435,0.0320447618498,0.0360950734753203,0.0494463951143028,1,1,1,0.0391144841474359,0.0654775401355244,0.0775747620668686,0.00940373375239655,0.0182258337229518,0.0248917072426097,0.147455279666677,0.14752972475422,1.5541592158619,20000,0,0,1000,0
"GSM8500534_Cap.area1_LN_V1","CONTEXT_ONLY","immune_cold_exclusion","Immune-cold / exclusion-associated program",21,1000,-0.014078071423433,-0.0141622193655586,0.0133084821734232,0.0161459993596968,0.0146386801419686,0.0311619904977195,0.0353958099883665,0.0442715826719955,1,1,1,0.0163226101085253,0.0165805550911535,0.00872925510891717,0.0165280878551801,0.0165805550911535,0.0273389883260985,0.0305869600768312,0.0408078502015142,1,1,1,0.00845710759954885,0.0207346007841229,0.0260025089920158,0.0101204118505654,0.0185352847123525,0.0246763861496043,0.0484156331904456,0.0485972196856923,0.375765960854478,21000,0,0,1000,0
"GSM8500534_Cap.area1_LN_V1","CONTEXT_ONLY","macrophage_rich","Macrophage-rich program",22,1000,-0.0122521900035739,-0.0127847003130269,0.0136585942059433,0.015154792098913,0.0137948152201187,0.0300655021948629,0.0334418941672285,0.049696264788567,1,1,1,0.0106092220046327,0.0108403380110274,0.00773886892581594,0.0113641431437208,0.0108403380110277,0.0201630287005121,0.0226960543490887,0.0372907627579368,1,1,1,0.00763228475855256,0.0187760972313217,0.0280903105889035,0.00646601933233606,0.0134526964759742,0.0219968204784852,0.0468628950642985,0.0470595134750805,0.374734182117109,22000,0,0,1000,0
"GSM8500534_Cap.area1_LN_V1","CONTEXT_ONLY","proliferative_cycling","Proliferative / cycling program",21,1000,-0.00562089895325621,-0.00569408859823262,0.00413480023779508,0.00593190709737716,0.00570451002260882,0.0110133934231427,0.0124176139139395,0.0171364553068145,1,1,1,0.00437120972028665,0.00431548694153269,0.00364830660477533,0.0047718686131743,0.00431548694153306,0.009244227290547,0.0103723107191229,0.0136278534995779,1,1,1,0.00618056636432551,0.0135402435429683,0.0187907549489688,0.00461967911456449,0.0109507351813843,0.014325783171988,0.0190799632456027,0.0189648193305444,0.15009575399242,21000,0,0,1000,0
"GSM8500534_Cap.area1_LN_V1","CONTEXT_ONLY","stromal_fibrotic","Stromal / fibrotic program",22,1000,-0.0184719496177642,-0.0185780770220705,0.0158474069142345,0.0203513348092581,0.0188830052770821,0.0395591778775553,0.0446429112647028,0.069015932741353,0.974,1,1,0.0185417477475826,0.0185731124588947,0.00951006990200163,0.0187844267811895,0.0185731124588947,0.0305697531910988,0.0337531991203381,0.0501546305310233,0.999,1,1,0.00983452228424456,0.0235324290392999,0.0366264911547702,0.0104938434463635,0.0190074154734635,0.0280472071863834,0.0636989346605047,0.0639721570733597,0.454996253220716,22000,0,0,1000,0
"GSM8500534_Cap.area1_LN_V1","CONTEXT_ONLY","t_cell_inflamed","T cell-inflamed program",22,1000,-0.0156272705242705,-0.0159554266094635,0.00720743536217432,0.0157325638406733,0.0159554266094635,0.0247256851595291,0.0272665582154699,0.033084498302193,1,1,1,0.0180336249705459,0.0182840367786009,0.0062765387152459,0.018034636735427,0.0182840367786009,0.026089080146541,0.0282607611947508,0.0379411830385983,1,1,1,0.0117196787304769,0.0201219938248321,0.024489381024796,0.0133323493619179,0.0204880696675786,0.0274162242448269,0.0410368401195313,0.0412148023302316,0.195747528082291,22000,0,0,1000,0
"GSM8500535_Cap.area2_tonsil_V1","CONTEXT_ONLY","antigen_presentation","Immune-inflamed / antigen-presentation program",20,1000,-0.161994355466671,-0.169562786195766,0.0536264847981629,0.162040591232591,0.169562786195766,0.226010584431286,0.237111282105698,0.273638401329175,0.032,0.146,0.733,0.00181654131982349,0.00234615191418829,0.00523165209907065,0.00454117623149032,0.00405043207826957,0.00894636418599292,0.0104470160707281,0.0165558644510691,1,1,1,0.0868751705536212,0.124024592945739,0.144193819767243,0.00472569754078842,0.0121450282743681,0.0193843968354786,0.21388470414465,0.217219319436351,1.76417638638483,20000,0,0,1000,0
"GSM8500535_Cap.area2_tonsil_V1","CONTEXT_ONLY","immune_cold_exclusion","Immune-cold / exclusion-associated program",21,1000,-0.0121086670280142,-0.0127773424712012,0.00952585303399307,0.0132291788324772,0.012955057361197,0.0240926524627202,0.0268937445336859,0.0351627683901415,1,1,1,0.0172179303928561,0.0176224887714463,0.00825939272919046,0.0173954200524919,0.0176224887714463,0.0273232894085517,0.0300193615543261,0.0389971342430336,1,1,1,0.010113394844249,0.0211630303523864,0.0276791964864816,0.0182856003133008,0.0311309019480432,0.0403506241173327,0.0487987424731535,0.0489623434091745,0.244880828106383,21000,0,0,1000,0
"GSM8500535_Cap.area2_tonsil_V1","CONTEXT_ONLY","macrophage_rich","Macrophage-rich program",22,1000,-0.0101746026351614,-0.0104366581442494,0.00726554176099113,0.0107282298389082,0.0104366581442494,0.0195076192326009,0.02180468122313,0.0286279694996187,1,1,1,0.0100316304779624,0.010362506310526,0.00565302107496302,0.0103398094035003,0.0103826276820027,0.0169864618006718,0.018873846445191,0.0243066167439135,1,1,1,0.00819992659657269,0.0171676908147288,0.0227021845544506,0.00950341436832331,0.0172251901599139,0.0221428034934749,0.0336130679026004,0.0336800806690765,0.188296062136729,22000,0,0,1000,0
"GSM8500535_Cap.area2_tonsil_V1","CONTEXT_ONLY","proliferative_cycling","Proliferative / cycling program",21,1000,-0.0267887910813824,-0.0269786250184144,0.0127110838556776,0.0270505168353734,0.0269786250184144,0.0433742671873055,0.0472967691931238,0.0618642285928741,0.972,1,1,0.0531418796622183,0.0534576932109909,0.0115638526664892,0.0531418796622183,0.0534576932109909,0.0674629342872454,0.0707070742656257,0.0878594894729533,0.38,1,1,0.0364874901267728,0.0639550859824586,0.0835489417686423,0.117213184108003,0.154577802460604,0.191636278817267,0.0931294740307492,0.0937119016241977,0.184769045234197,21000,0,0,1000,0
