normalized_program_name,historical_program_name,gene_symbol,membership_index,source_workbook,source_sheet,source_excel_row
Macrophage-rich program,Macrophage-rich niche,CD68,1,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,4
Macrophage-rich program,Macrophage-rich niche,CD163,2,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,5
Macrophage-rich program,Macrophage-rich niche,CSF1R,3,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,6
Macrophage-rich program,Macrophage-rich niche,FCGR1A,4,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,7
Macrophage-rich program,Macrophage-rich niche,FCGR3A,5,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,8
Macrophage-rich program,Macrophage-rich niche,LYZ,6,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,9
Macrophage-rich program,Macrophage-rich niche,AIF1,7,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,10
Macrophage-rich program,Macrophage-rich niche,TYROBP,8,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,11
Macrophage-rich program,Macrophage-rich niche,LST1,9,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,12
Macrophage-rich program,Macrophage-rich niche,MSR1,10,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,13
Macrophage-rich program,Macrophage-rich niche,MRC1,11,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,14
Macrophage-rich program,Macrophage-rich niche,C1QA,12,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,15
Macrophage-rich program,Macrophage-rich niche,C1QB,13,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,16
Macrophage-rich program,Macrophage-rich niche,C1QC,14,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,17
Macrophage-rich program,Macrophage-rich niche,APOE,15,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,18
Macrophage-rich program,Macrophage-rich niche,SPP1,16,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,19
Macrophage-rich program,Macrophage-rich niche,MARCO,17,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,20
Macrophage-rich program,Macrophage-rich niche,CTSS,18,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,21
Macrophage-rich program,Macrophage-rich niche,MS4A7,19,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,22
Macrophage-rich program,Macrophage-rich niche,VSIG4,20,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,23
Macrophage-rich program,Macrophage-rich niche,LGALS3,21,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,24
Macrophage-rich program,Macrophage-rich niche,TREM2,22,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,25
T cell-inflamed program,T cell-inflamed niche,CD3D,1,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,26
T cell-inflamed program,T cell-inflamed niche,CD3E,2,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,27
