"sample","geo_accession","COO_raw","COO_clean"
"GSM775979","GSM775979","GCB","GCB"
"GSM775980","GSM775980","GCB","GCB"
"GSM775981","GSM775981","GCB","GCB"
"GSM775982","GSM775982","GCB","GCB"
"GSM775983","GSM775983","GCB","GCB"
"GSM775984","GSM775984","ABC","ABC"
"GSM775985","GSM775985","ABC","ABC"
"GSM775986","GSM775986","ABC","ABC"
"GSM775987","GSM775987","ABC","ABC"
"GSM775988","GSM775988","ABC","ABC"
"GSM775989","GSM775989","UC","UC"
"GSM775990","GSM775990","ABC","ABC"
"GSM775991","GSM775991","GCB","GCB"
"GSM775992","GSM775992","GCB","GCB"
"GSM775993","GSM775993","ABC","ABC"
"GSM775994","GSM775994","ABC","ABC"
"GSM775995","GSM775995","GCB","GCB"
"GSM775996","GSM775996","GCB","GCB"
"GSM775997","GSM775997","ABC","ABC"
"GSM775998","GSM775998","ABC","ABC"
"GSM775999","GSM775999","GCB","GCB"
"GSM776000","GSM776000","GCB","GCB"
"GSM776001","GSM776001","GCB","GCB"
"GSM776002","GSM776002","GCB","GCB"
"GSM776003","GSM776003","GCB","GCB"
"GSM776004","GSM776004","GCB","GCB"
"GSM776005","GSM776005","ABC","ABC"
"GSM776006","GSM776006","GCB","GCB"
"GSM776007","GSM776007","ABC","ABC"
"GSM776008","GSM776008","ABC","ABC"
"GSM776009","GSM776009","GCB","GCB"
"GSM776010","GSM776010","ABC","ABC"
"GSM776011","GSM776011","UC","UC"
"GSM776012","GSM776012","GCB","GCB"
"GSM776013","GSM776013","ABC","ABC"
"GSM776014","GSM776014","ABC","ABC"
"GSM776015","GSM776015","GCB","GCB"
"GSM776016","GSM776016","GCB","GCB"
"GSM776017","GSM776017","GCB","GCB"
"GSM776018","GSM776018","GCB","GCB"
"GSM776019","GSM776019","GCB","GCB"
"GSM776020","GSM776020","GCB","GCB"
"GSM776021","GSM776021","GCB","GCB"
"GSM776022","GSM776022","UC","UC"
"GSM776023","GSM776023","GCB","GCB"
"GSM776024","GSM776024","GCB","GCB"
"GSM776025","GSM776025","ABC","ABC"
"GSM776026","GSM776026","GCB","GCB"
"GSM776027","GSM776027","GCB","GCB"
"GSM776028","GSM776028","UC","UC"
"GSM776029","GSM776029","GCB","GCB"
"GSM776030","GSM776030","ABC","ABC"
"GSM776031","GSM776031","ABC","ABC"
"GSM776032","GSM776032","UC","UC"
"GSM776033","GSM776033","ABC","ABC"
"GSM776034","GSM776034","GCB","GCB"
"GSM776035","GSM776035","ABC","ABC"
"GSM776036","GSM776036","GCB","GCB"
"GSM776037","GSM776037","ABC","ABC"
"GSM776038","GSM776038","GCB","GCB"
"GSM776039","GSM776039","GCB","GCB"
"GSM776040","GSM776040","GCB","GCB"
"GSM776041","GSM776041","ABC","ABC"
"GSM776042","GSM776042","ABC","ABC"
"GSM776043","GSM776043","ABC","ABC"
"GSM776044","GSM776044","UC","UC"
"GSM776045","GSM776045","ABC","ABC"
"GSM776046","GSM776046","ABC","ABC"
"GSM776047","GSM776047","ABC","ABC"
"GSM776048","GSM776048","ABC","ABC"
"GSM776049","GSM776049","ABC","ABC"
"GSM776050","GSM776050","ABC","ABC"
"GSM776051","GSM776051","GCB","GCB"
"GSM776052","GSM776052","ABC","ABC"
"GSM776053","GSM776053","GCB","GCB"
"GSM776054","GSM776054","ABC","ABC"
"GSM776055","GSM776055","GCB","GCB"
"GSM776056","GSM776056","ABC","ABC"
"GSM776057","GSM776057","GCB","GCB"
"GSM776058","GSM776058","GCB","GCB"
"GSM776059","GSM776059","ABC","ABC"
"GSM776060","GSM776060","ABC","ABC"
"GSM776061","GSM776061","ABC","ABC"
"GSM776062","GSM776062","UC","UC"
"GSM776063","GSM776063","ABC","ABC"
"GSM776064","GSM776064","ABC","ABC"
"GSM776065","GSM776065","GCB","GCB"
"GSM776066","GSM776066","ABC","ABC"
"GSM776067","GSM776067","ABC","ABC"
"GSM776068","GSM776068","GCB","GCB"
"GSM776069","GSM776069","GCB","GCB"
"GSM776070","GSM776070","GCB","GCB"
"GSM776071","GSM776071","UC","UC"
"GSM776072","GSM776072","GCB","GCB"
"GSM776073","GSM776073","GCB","GCB"
