"sample","Macrophage-rich program","T cell-inflamed program","Immune-inflamed / antigen-presentation program","Stromal / fibrotic program","Immune-cold / exclusion-associated program","Proliferative / cycling program"
"GSM5482779",0.0924585268293688,0.114308276320061,0.0488000900082084,0.151622340823118,0.184152538897333,0.23831984846311
"GSM5482780",0.00345000709715358,0.0890944530674862,0.0287163661213471,0.200829949386121,0.230342034028914,0.132708588595877
"GSM5482781",0.277441726144931,0.088795167479061,0.487642850426107,0.414805435539001,0.287181225352381,0.529646360031066
"GSM5482782",0.359688837257255,0.493374252253462,0.587121341333563,0.393918923554529,0.317962435794831,0.398298063401643
"GSM5482783",0.452779173037918,0.522563444742983,0.576721119924647,0.307879047683426,0.29902316149819,0.38109142479739
"GSM5482784",0.294750622588964,0.319635319366363,0.569615412123862,0.444663142206263,0.340478191725104,0.414634938820801
"GSM5482785",0.527234736922321,0.454080880906931,0.585506640634384,0.40005126455181,0.305006743344203,0.253106363724139
"GSM5482786",0.555627080854659,0.439754483471611,0.64197214881977,0.653237387702465,0.428482596526638,0.410664094956293
"GSM5482787",0.265651333892283,0.342636178478032,0.528581866396336,0.540316492939407,0.356998711344436,0.354474221556732
"GSM5482788",0.409448803642978,0.341961742801459,0.589320863509357,0.476799307093596,0.368944749182862,0.417985971750884
"GSM5482789",0.392556883578886,0.354402722551101,0.605038374216904,0.511933195698452,0.354548563962141,0.456434818303733
"GSM5482790",0.576472953262901,0.561344068595487,0.679395764435407,0.399050333386522,0.350037147312688,0.376742956705949
"GSM5482791",0.330012487655118,0.0955696765598812,0.457836948582162,0.537813135736294,0.289988459773334,0.499178514933682
"GSM5482792",0.483344053603764,0.289124320746235,0.531933973721401,0.505078188137444,0.362506549441568,0.497112196533655
"GSM5482793",0.506523088983286,0.473474716070766,0.539138568835055,0.327115432751618,0.336370967404982,0.33871095738997
"GSM5482794",0.281398556141153,0.175383503340227,0.477562483010493,0.463629653434071,0.36079147029274,0.467370091525472
"GSM5482795",0.532855125913806,0.392642197253143,0.569264278296688,0.502521278119076,0.29268409726242,0.234289561750762
"GSM5482796",0.426252955633555,0.356457594812546,0.591646242720939,0.638195073406022,0.425999007393421,0.327842901245474
"GSM5482797",0.242423950574251,0.237544717163936,0.485578550888124,0.51744964469179,0.343482961331094,0.249409678220515
"GSM5482798",0.523428384057539,0.417966103343973,0.597219149125771,0.481231942691225,0.365248597490379,0.445847787207767
"GSM5482799",0.54677810302037,0.409759261560749,0.617580300078495,0.485509527865233,0.356778761146897,0.465204381934257
"GSM5482800",0.49417416237529,0.349748650061162,0.599412496413492,0.6485506851163,0.380722599335715,0.366368098227291
"GSM5482801",0.400541740880663,0.325123664692604,0.470280679354879,0.419398962189412,0.296998059153547,0.511084789822829
"GSM5482802",0.578739760329963,0.470898758033677,0.611704038545546,0.414882708386789,0.352746835327508,0.472134207018317
"GSM5482803",0.455700039269323,0.350949625765113,0.53783068122378,0.462575567477831,0.330947487284803,0.465988515134394
"GSM5482804",0.425377768292895,0.404903393074117,0.580819934109125,0.472259121687219,0.34958784178264,0.351910351877009
"GSM5482805",0.579927019435326,0.378146862749861,0.593108982732592,0.649671111610308,0.412042410914633,0.452272533342973
"GSM5482806",0.551031268588334,0.46312714839927,0.630726818867029,0.535484712867361,0.37063971723795,0.439352284960599
"GSM5482807",0.363650539752323,0.212574738207802,0.427580028647437,0.341902364866173,0.295453118189397,0.23394240967322
"GSM5482808",0.492255062329158,0.54430928264749,0.597321269337572,0.289468729946533,0.367854725641022,0.38719454521324
"GSM5482809",0.520533234051769,0.470690681730876,0.595874315413022,0.38382750442667,0.341058862434924,0.440491219486998
"GSM5482810",0.479855922459641,0.443415835700261,0.584360124797699,0.464566968041976,0.358212799482541,0.439534048684596
"GSM5482811",0.353059389119465,0.292002016158009,0.601410180020968,0.354207085824598,0.344563754559759,0.407442283869898
"GSM5482812",0.342418733168838,0.208433854861973,0.496179699408727,0.481702855074463,0.352086314111102,0.388263842497666
"GSM5482813",0.434391923832833,0.436284617454835,0.512158563118131,0.469642066781943,0.307344463955751,0.267906177933624
"GSM5482814",0.490263189640534,0.367917947298722,0.503045676070309,0.296615191688635,0.337147001389654,0.405590089020461
"GSM5482815",0.595106809641129,0.443042511361883,0.555580034455692,0.592400871377678,0.379715451027401,0.134340326610289
"GSM5482816",0.403948356248136,0.476705518454655,0.527970743424105,0.236288231930606,0.253482965262002,0.438242781224771
"GSM5482817",0.423732691183434,0.267696835065116,0.459199112234383,0.423598008844377,0.295947205801176,0.525181713922725
"GSM5482818",0.358053989500626,0.290669583618634,0.486895151808844,0.350810491654773,0.271522205929919,0.442811500857324
"GSM5482819",0.505660527981832,0.385561264769055,0.55634742753087,0.699695106455816,0.451339976425274,0.371184979287807
"GSM5482820",0.521793549752171,0.472706324073022,0.635448706577021,0.721520139519385,0.47751198109563,0.26204348925883
"GSM5482821",0.518258525533706,0.400326164496652,0.575706579759779,0.413229008414432,0.326331686885291,0.509619072480128
"GSM5482822",0.413871942996178,0.290957385751878,0.453004688985699,0.51460104532331,0.434578418585042,0.219909623780206
"GSM5482823",0.41898996086822,0.45907455483792,0.555784383296635,0.353032615470624,0.317166225448393,0.445771937718712
"GSM5482824",0.540568368069753,0.489342076138002,0.663573434279592,0.416198365177464,0.325034305349431,0.441870645356401
"GSM5482825",0.512853722726989,0.4075618802679,0.565063459004878,0.438386171438825,0.326010060498164,0.481419134721286
"GSM5482826",0.519190014755209,0.389775803183939,0.625735442664549,0.54832754113672,0.386643951473883,0.466797882490866
"GSM5482827",0.565433883531213,0.516843068785303,0.632613407299258,0.522383770068533,0.39453361345398,0.315300644766929
"GSM5482828",0.357003269104073,0.282174721112464,0.274307771522038,0.251108641300862,0.293491204644124,0.124081445141613
"GSM5482829",0.336939000061823,0.372525509483497,0.567897159438678,0.504616750979676,0.412955615505738,0.495689119850944
"GSM5482830",0.466008765764708,0.527758694200949,0.632495675069155,0.44743275333987,0.339334432701647,0.435589611665605
"GSM5482831",0.546277536872155,0.387067511494431,0.433219412788287,0.655615835526343,0.436997535423549,0.132695541011276
"GSM5482832",0.542188315576056,0.455587375442366,0.619614675391287,0.734772991997344,0.492163210100942,0.321180877422642
"GSM5482833",0.524502267043599,0.49772849025471,0.614026500748978,0.637523186038612,0.449103508834162,0.44189535237123
"GSM5482834",0.523596638081253,0.440223460324609,0.65828877618854,0.701439186156835,0.486795670047229,0.411762015924886
"GSM5482835",0.474078177604597,0.458361013998718,0.676728279420814,0.424802681109349,0.364015654855821,0.47743159816694
"GSM5482836",0.511765315665613,0.60641402126917,0.672218199211465,0.400514645061836,0.388944990698392,0.439817007415991
"GSM5482837",0.480060716561423,0.447836025649173,0.650675358598156,0.60073497393472,0.421579647128233,0.437977562896155
"GSM5482838",0.400596177652631,0.337882510688648,0.586303565737931,0.436973274379867,0.331393950068585,0.535394107870313
"GSM5482839",0.396231823711167,0.400732449515644,0.62415146719642,0.658621059758609,0.441465159225517,0.35529340532077
"GSM5482840",0.463582124370837,0.124946047946788,0.479819881073402,0.559016822881756,0.384078993703641,0.492960097225282
"GSM5482841",0.546837443998411,0.422792534828293,0.537404731889723,0.55446675509107,0.38493494077043,0.52410047648268
"GSM5482842",0.519408795867727,0.36573278956872,0.578391101378122,0.483887221819401,0.442085470764225,0.493437890079922
"GSM5482843",0.343540890955515,0.35815961488838,0.636191688164235,0.461828024035457,0.365628390673314,0.445643395445468
"GSM5482844",0.485408776358289,0.250481792581246,0.53905729702098,0.618139028014656,0.411888629897968,0.490170193722855
"GSM5482845",0.494062187008348,0.411802496400523,0.618972931214007,0.658546827554003,0.443727267139677,0.461698199760342
"GSM5482846",0.418583962360671,0.373046717917488,0.553349836708253,0.545372963227188,0.372776284664946,0.348436771869994
"GSM5482847",0.436059264163666,0.379749798621995,0.624417048575653,0.624431220290782,0.458377834367839,0.441307009107748
"GSM5482848",0.514135739152294,0.234312403100432,0.582729779692688,0.691471730222795,0.446032059631633,0.398869728010006
"GSM5482849",0.524702720363543,0.448813997962984,0.59220604393266,0.610693868423816,0.45289300749671,0.417034535862873
"GSM5482850",0.477043209824164,0.457266857332626,0.601030770140334,0.400008671770563,0.320610666279396,0.432111085335835
"GSM5482851",0.534954428513354,0.470938998879958,0.549314321376442,0.473915333987445,0.401658170845815,0.432380817689635
"GSM5482852",0.494125268017433,0.465301490688233,0.468594049445404,0.593212737091539,0.442709648050663,0.410369656179072
"GSM5482853",0.473213529527203,0.414317964416826,0.526935520047347,0.405938792557238,0.359716902359837,0.491282511163276
"GSM5482854",0.56385649193188,0.467379239276215,0.628105845632837,0.652897947988184,0.482463115901538,0.43495570771259
"GSM5482855",0.331360823192861,0.3353854835558,0.552029907255194,0.583005057970164,0.39565929482512,0.468264567798509
"GSM5482856",0.290439173498542,0.44673650735165,0.642578601276814,0.688549187265416,0.470294440869687,0.389206878915051
"GSM5482857",0.549171457448528,0.417963496921752,0.624360883430155,0.555016446222873,0.455163560352227,0.442582778849768
"GSM5482858",0.468458356251116,0.290628271798398,0.58141800827988,0.555795706248436,0.433838209067199,0.503226668904147
"GSM5482859",0.392347434551717,0.348904482829686,0.587486630516159,0.46698156860831,0.357752769223463,0.401772830456631
"GSM5482860",0.512924799685209,0.483320299339129,0.617336757799202,0.570139680595352,0.45491691710829,0.386366692329716
"GSM5482861",0.369198882760138,0.473725481130529,0.601900020495683,0.552869710478655,0.419659556916645,0.403342759296351
"GSM5482862",0.335954692056957,0.0974549899216544,0.356008626764104,0.402892200075155,0.331664369971176,0.386337924754958
"GSM5482863",0.319549051939258,0.255326698128584,0.469493075033946,0.283895844201725,0.213842530921784,0.603099059025874
"GSM5482864",0.436965062718362,0.256739907836794,0.501556374500121,0.416295929770922,0.340808610907599,0.528176258089437
"GSM5482865",0.45723069395092,0.45837592480941,0.488733006093021,0.476673435068753,0.356869721328401,0.460847444009179
"GSM5482866",0.312747549846437,0.230388960935501,0.315135735865782,0.412561503047009,0.261496529383564,0.405709074941265
"GSM5482867",0.362584441913516,0.11504131872799,0.317736371548202,0.473868881567316,0.33497167568072,0.393982413089437
"GSM5482868",0.512405060700891,0.515041780844773,0.432534269424214,0.464011288051243,0.389675597836806,0.518424780804831
"GSM5482869",0.419327708997199,0.237210338794643,0.383987529698817,0.552339765866688,0.357893780948083,0.545250820274104
"GSM5482870",0.111193752307565,0.166523340201213,0.196363400858811,0.163829722917635,0.14969000582352,0.23029264488248
"GSM5482871",0.325027529144834,0.0256733395028148,0.43103295736461,0.402707813841981,0.283122963634606,0.536284852311243
"GSM5482872",0.334988984310847,0.198244917473106,0.484888587208653,0.258190445333489,0.318662130026129,0.42539825038847
"GSM5482873",0.33475701924463,0.0628365638991983,0.409101859298763,0.345976395520591,0.236242128781445,0.601034525904473
"GSM5482874",0.483386145094313,0.308508241458668,0.604721581432562,0.62887515060191,0.447515682673165,0.541798440966123
"GSM5482875",0.524130764288946,0.404287354206754,0.614564139270186,0.655359346466034,0.436413686694693,0.514424140481
