"dataset_id","collapse_rule","program_1","program_2","program_1_order","program_2_order","pearson_r","sign"
"GSE10846","MEDIAN_ACROSS_PROBES_PER_GENE","Macrophage-rich program","T cell-inflamed program",1,2,0.513520137843867,"positive"
"GSE10846","MEDIAN_ACROSS_PROBES_PER_GENE","Macrophage-rich program","Immune-inflamed / antigen-presentation program",1,3,0.463257503966519,"positive"
"GSE10846","MEDIAN_ACROSS_PROBES_PER_GENE","T cell-inflamed program","Immune-inflamed / antigen-presentation program",2,3,0.754674820087195,"positive"
"GSE10846","MEDIAN_ACROSS_PROBES_PER_GENE","Macrophage-rich program","Stromal / fibrotic program",1,4,0.518350180062825,"positive"
"GSE10846","MEDIAN_ACROSS_PROBES_PER_GENE","T cell-inflamed program","Stromal / fibrotic program",2,4,0.10342212399151,"positive"
"GSE10846","MEDIAN_ACROSS_PROBES_PER_GENE","Immune-inflamed / antigen-presentation program","Stromal / fibrotic program",3,4,0.0911724475315477,"positive"
"GSE10846","MEDIAN_ACROSS_PROBES_PER_GENE","Macrophage-rich program","Immune-cold / exclusion-associated program",1,5,0.597190884997726,"positive"
"GSE10846","MEDIAN_ACROSS_PROBES_PER_GENE","T cell-inflamed program","Immune-cold / exclusion-associated program",2,5,0.371293284840683,"positive"
"GSE10846","MEDIAN_ACROSS_PROBES_PER_GENE","Immune-inflamed / antigen-presentation program","Immune-cold / exclusion-associated program",3,5,0.399713052780206,"positive"
"GSE10846","MEDIAN_ACROSS_PROBES_PER_GENE","Stromal / fibrotic program","Immune-cold / exclusion-associated program",4,5,0.705275245617568,"positive"
"GSE10846","MEDIAN_ACROSS_PROBES_PER_GENE","Macrophage-rich program","Proliferative / cycling program",1,6,-0.267895384694681,"negative"
"GSE10846","MEDIAN_ACROSS_PROBES_PER_GENE","T cell-inflamed program","Proliferative / cycling program",2,6,-0.308728154393621,"negative"
"GSE10846","MEDIAN_ACROSS_PROBES_PER_GENE","Immune-inflamed / antigen-presentation program","Proliferative / cycling program",3,6,-0.212882613236265,"negative"
"GSE10846","MEDIAN_ACROSS_PROBES_PER_GENE","Stromal / fibrotic program","Proliferative / cycling program",4,6,-0.226570834016252,"negative"
"GSE10846","MEDIAN_ACROSS_PROBES_PER_GENE","Immune-cold / exclusion-associated program","Proliferative / cycling program",5,6,-0.271599831223678,"negative"
"GSE181063","MEDIAN_ACROSS_PROBES_PER_GENE","Macrophage-rich program","T cell-inflamed program",1,2,0.551128539443235,"positive"
"GSE181063","MEDIAN_ACROSS_PROBES_PER_GENE","Macrophage-rich program","Immune-inflamed / antigen-presentation program",1,3,0.563210234540425,"positive"
"GSE181063","MEDIAN_ACROSS_PROBES_PER_GENE","T cell-inflamed program","Immune-inflamed / antigen-presentation program",2,3,0.673334338730396,"positive"
"GSE181063","MEDIAN_ACROSS_PROBES_PER_GENE","Macrophage-rich program","Stromal / fibrotic program",1,4,0.423467092063916,"positive"
"GSE181063","MEDIAN_ACROSS_PROBES_PER_GENE","T cell-inflamed program","Stromal / fibrotic program",2,4,0.123177875708932,"positive"
"GSE181063","MEDIAN_ACROSS_PROBES_PER_GENE","Immune-inflamed / antigen-presentation program","Stromal / fibrotic program",3,4,0.253076438444571,"positive"
"GSE181063","MEDIAN_ACROSS_PROBES_PER_GENE","Macrophage-rich program","Immune-cold / exclusion-associated program",1,5,0.573035872417236,"positive"
"GSE181063","MEDIAN_ACROSS_PROBES_PER_GENE","T cell-inflamed program","Immune-cold / exclusion-associated program",2,5,0.343774553431632,"positive"
"GSE181063","MEDIAN_ACROSS_PROBES_PER_GENE","Immune-inflamed / antigen-presentation program","Immune-cold / exclusion-associated program",3,5,0.404928601210959,"positive"
"GSE181063","MEDIAN_ACROSS_PROBES_PER_GENE","Stromal / fibrotic program","Immune-cold / exclusion-associated program",4,5,0.858494269489165,"positive"
"GSE181063","MEDIAN_ACROSS_PROBES_PER_GENE","Macrophage-rich program","Proliferative / cycling program",1,6,-0.16045609108552,"negative"
"GSE181063","MEDIAN_ACROSS_PROBES_PER_GENE","T cell-inflamed program","Proliferative / cycling program",2,6,-0.218129617011387,"negative"
"GSE181063","MEDIAN_ACROSS_PROBES_PER_GENE","Immune-inflamed / antigen-presentation program","Proliferative / cycling program",3,6,0.0523478715678626,"positive"
"GSE181063","MEDIAN_ACROSS_PROBES_PER_GENE","Stromal / fibrotic program","Proliferative / cycling program",4,6,-0.191988204719811,"negative"
"GSE181063","MEDIAN_ACROSS_PROBES_PER_GENE","Immune-cold / exclusion-associated program","Proliferative / cycling program",5,6,-0.241268666767127,"negative"
