Patient,CellType,n_cells,present
DLBCL002,B cells,1651,TRUE
DLBCL002,Monocytes and Macrophages,214,TRUE
DLBCL002,NK cells,69,TRUE
DLBCL002,Others,0,FALSE
DLBCL002,Plasma cells,65,TRUE
DLBCL002,T cells CD4,1720,TRUE
DLBCL002,T cells CD8,1177,TRUE
DLBCL002,TFH,209,TRUE
DLBCL002,Tregs,429,TRUE
DLBCL007,B cells,827,TRUE
DLBCL007,Monocytes and Macrophages,15,TRUE
DLBCL007,NK cells,5,TRUE
DLBCL007,Others,5,TRUE
DLBCL007,Plasma cells,0,FALSE
DLBCL007,T cells CD4,131,TRUE
DLBCL007,T cells CD8,302,TRUE
DLBCL007,TFH,14,TRUE
DLBCL007,Tregs,135,TRUE
DLBCL008,B cells,462,TRUE
DLBCL008,Monocytes and Macrophages,292,TRUE
DLBCL008,NK cells,17,TRUE
DLBCL008,Others,0,FALSE
DLBCL008,Plasma cells,37,TRUE
DLBCL008,T cells CD4,437,TRUE
DLBCL008,T cells CD8,1605,TRUE
DLBCL008,TFH,0,FALSE
DLBCL008,Tregs,150,TRUE
DLBCL111,B cells,496,TRUE
DLBCL111,Monocytes and Macrophages,46,TRUE
DLBCL111,NK cells,122,TRUE
DLBCL111,Others,41,TRUE
DLBCL111,Plasma cells,0,FALSE
DLBCL111,T cells CD4,966,TRUE
DLBCL111,T cells CD8,2399,TRUE
DLBCL111,TFH,72,TRUE
DLBCL111,Tregs,258,TRUE
